model,accuracy,f1
LogisticRegression,0.998654949784792,0.9983096763284285
RandomForest,0.9992826398852224,0.9989684618725132
MultinomialNB,0.9949784791965567,0.9924740385800964
LinearSVC,0.9997309899569584,0.9996943249497199
